0	Unknown	Unknown	Unknown	Unknown	
1	inlandWaters	Distribution and Quantification of Water Within the 1002 Area, Arctic National Wildlife Refuge, Alaska	An inventory of lake basins in the 1002 area of the Arctic National Wildlife Refuge was conducted as part of an effort to develop a hydrologic database, map sources of water, and quantify water availability.  Using a recording fathometer, depth profile measurements were taken on 119 lakes within the 1002 area during the summer months of 1988, 1989, and 1990.  Fathometer output was used to construct lake contour maps, calculate volumes, and estimate winter water volumes beneath ice cover.  Total estimated volume of study lakes ranged from 55,382 acre-ft when free of ice to 3,366 acre-ft beneath seven feet of ice, the maximum ice thickness. In April, when ice thickness is at maximum, 90 percent of the available water is contained in nine of the 119 lakes surveyed. The lakes are not evenly distributed across the 1002 area. A large number of lakes are congregated near the mouth of the Canning River, and only two lakes are located in the region between the Katakturuk and Sadlerochit Rivers. During the winter months, winter water is more abundant in lakes than in pools located beneath ice hummocks along major river drainages of the 1002 area. Observation of fish presence in lakes was more frequent and widespread than previously suspected. Ninespine stickleback (Pungitius pungitius) were found in 34 of the 52 lakes (65%) surveyed in 1989.	ISO-____	http://alaska.fws.gov/fisheries/fish/Technical_Reports/t_1991_10.pdf
3	climatology/meteorology/atmosphere	Weather Station data collected by US Fish and Wildlife Service from 2002-2006	Hourly weather station data collected with Onset Hobo instruments at Canning River Delta from June 2002 to July 2006.   Variables measured were air temperature from 2002-2005, soil temperature from 2002-2006, and wind speed/direction from 2004-2005. Data were collected by US Fish and Wildlife Service.  Weather station is not capable of real-time data transmission.  	ISO-____	
4	climatology/meteorology/atmosphere	Late July to mid August 2008 weather Station data collected near Canning, Okpilak, and Jago Rivers during post-breeding bird surveys conducted by US Fish and Wildlife Service.	Subhourly (every 30 minutes) weather station data collected with Onset Hobo instruments near Canning, Okpilak, and Jago Rivers from late July to mid August 2008.   Variables measured were air temperature, absolute pressure, average and total precipitation, and wind speed/direction. Data were collected by US Fish and Wildlife Service.  Weather stations are not capable of real-time data transmission. 	ISO-____	
5	climatology/meteorology/atmosphere	U.S. Geological Survey: Real-Time Permafrost and Climate Monitoring Network - Arctic Alaska 	The U.S. Geological Survey Real-Time Permafrost and Climate Monitoring Network in Arctic Alaska is a collaborative effort with The Bureau of Land Management, U.S. Fish and Wildlife Service, private organizations and universities.  Primary network operations are managed by members of the U.S. Geological Survey, Geology and Environmental Change Science Center.  The network was established to provide high quality real-time environmental data to aid in land management decision making.  The information is also used extensively in logistics and aircraft operations. This real-time network is a subset of a larger U.S. Geological Survey permafrost and climate monitoring research network.  Many of the stations are co-located with deep boreholes, thus forming the basis for comprehensive permafrost monitoring observatories.  The objectives of the larger network include climate change detection, monitoring how permafrost and vegetation respond to climate change, and acquiring improved data for current permafrost characterization and impact assessment models. Data from this network contributes to several international networks as well, primarily GTN-P (Global Terrestrial Network for Permafrost), part of the WMO (World Meteorological Organization) sponsored effort GCOS (Global Climate Observing System).Time Step for measurement of all variables at automated surface stations is hourly with most sensors being monitored every 30 seconds and averaged every hour and with some sensors sampled once per hour. Provisional data is available from real time stations at http://data.usgs.gov/akcm and/or http://data.usgs.gov/climateMonitoring/alaska/   and/or   http://www.aoos.org/. Select provisional data is available at http://www.gtnp.org/index_e.html  and by personal communication with Frank Urban or Gary Clow.  Borehole TSP data collection began in the late 1970's and since the late 1990's is measured in detail every 5 years and once per year for select sites. 	ISO-____	https://my.usgs.gov/Public/AKCM/USGS_GTNP_metadataBase.xls 
15	climatology/meteorology/atmosphere	Eddy Flux towers and tundra heating and water manipulation experiments with aerial measur	2000 Summer Field Season Report (lat long of sites are inreport). Investigators: Oechel, Vourlitis, Brooks, Zamolodchikov, Karelin, Stow, Hope. Research sites in Prudhoe Bay, Barrow, Atqasuk, and Seward Peninsula, Alaska, as well as a new site on the Chukotka Peninsula, Russia. Larger scale remote sensing activities have are reported in a previous SDSU Remote Sensing field season report. Tundra Manipulations Experiment -- full factorial heating and water manipulation experiment continued at Barrow, Alaska. Site = 1998-2000. Effective in manipulation of tundra soil temperatures and decreased and increased water table depth. Carbon fluxes in the control plots compare favorably with the eddy covariance tower located several hundred meters away while the manipulated treatments show differences in carbon flux from control plots. Preliminary results: increased soil temperatures increases CO2 uptake. Water table manipulation shows an additive effect on uptake, but appears to have a much weaker effect on fluxes alone and smaller in magnitude than that of increases in temperature. Preliminary NDVI values are higher in the heated plots compared to the controls, indicating possibly enhanced photosynthetic capacity with soil heating. Increases in CO2 uptake seen in the first year of manipulation have continued, with levels similar to those seen in the 1999 growing season.  Tower Based Eddy Covariance -- N Slope: mass, momentum and energy are measured year-round at Prudhoe Bay (1994-2000), Barrow (1997-2000) and Atqasuk (1998-2000). Barrow shows a net growing season sink (June to September) -- this is a decrease in magnitude of the sink strength in 2000 compared to the previous two field seasons. Atqasuk area is typically warmer and drier than Barrow as well as having a different tundra vegetation type. Eddy covariance measurements in Atqasuk show a net source of carbon for June - September. This is a change in direction and magnitude from the 1999 field season; Atqasuk was a very small sink in 1999 for the same time period. Between October-May, data indicate that when summed over the entire year, Arctic tundra ecosystems are a net source of carbon to the atmosphere. Tower Based Eddy Covariance – Seward Peninsula: portable tower was deployed to the Quartz Creek region of the Seward Peninsula between July 25 and August 6. Three sites were measured in the area corresponding to sites selected by Larry Hinzman et al. in which they have established long-term meteorological and hydrological stations and include a young (following fire) and an old tussock tundra site (unburned), as well as a shrub dominated site. The time of the measurements were a few weeks past peak season, and it rained for 5-6 of the 12 days. Measurements between these times shows the young burn site to be a net source of carbon of 0.09 to 0.12 gC d-1, the old tussock tundra was a small net sink of approximately -0.27 to -0.99 gC d-1, and the shrub area having the largest net sink activity of -1.53 to -2.08 gC d-1. Airplane Based Eddy Covariance -- Measurements of mass (CO2, H2O), momentum and energy over large spatial scales were done using our dedicated research aircraft (SDSU Sky Arrow). The Sky Arrow arrived in Prudhoe Bay on 15 June and was flown to Barrow on 18 June. We established three major flux transects which we concentrated on for the entire growing season. The first transect was originally established in 1998 and flown by the NOAA-ATDD Long-EZ, and continued flights in the late season of 1999 by the SDSU Sky Arrow, and continued this year by the SDSU Sky Arrow Environmental Research Aircraft. This transect is approximately 175 km long and begins over the ocean northeast of Barrow and extends 73 km to the south of Atqasuk. The second transect is an East to West transect spanning 80 km from Admirality Bay to Peard Bay. The third transect was flown over Tusivoak Lake, a large freshwater lake 16 km long, located 30 km west-southwest of Barrow. Flux flights were 10 meters above ground level at speeds between 27 to 53 m s-1 (60-112 km hr-1) depending on wind velocity. 185 hours of flight time this season throughout many different weather conditions. Airplane Based Digital Imagery and Spectral Reflectance -- Measurements of spectral reflectance were taken simultaneously with the flux measurements. Particular flights included hyperspectral measurements simultaneous to the flux flights. Additional spectral measurements were taken with the SDSU Sky Arrow with an ADAR spectral imaging system from 3600′ and 7200′ above the Barrow area providing a resolution of 0.5m and 1.0m respectively. The ADAR cameras record four spectral bands (red, green, blue and near-IR) and the images could be constructed in a mosaic for use in AVHRR satellite comparisons. Chamber Based Soil Respiration Measurements --  An attempt this year was made to measure tundra soil respiration using chamber-based techniques. Soil respiration measurements were made within outlying areas of the flux footprint of the eddy covariance towers in Barrow and Atqasuk. Measurements were made once a week for full diurnal measurements at each site. Tundra Vegetation Demography Study --  Dr. Tom Ebert continued his third season of measurements of tundra vegetation demography in Barrow and Atqasuk. Permanent 30m transect lines at Barrow and Atqasuk were resampled using a digital video camera (620 x 480 pixels) mounted on a 3-meter boom. Photographing smaller plots (25 cm x 30 cm) than in 1998 has increased resolution but with an associated increase in the number of pictures that must be analyzed. Each 30 meter transect consists of two bands 25 cm wide, one from 0-25 and the second from 25 to 50cm which gives 200 images per 30 x 0.5m transect. Images from 2000 are paired with 1999 images so changes in individual plants can be measured. Measurements are change in size, which can be either positive or negative, loss (death), or addition of new individuals. Numbers of flowers are counted and provide a measure of size-specific reproduction. Transitions are used in a size-based demographic model to predict rate of population change and to explore the sensitivity and stability characteristics of plant species. There are six original Barrow and five additional Barrow transects (each 10m long) were photographed on the abandoned road at the Old IBP site. There are two sites at Atqasuk, each with three transects. Methane Flux Measurements -- Methane flux measurements were conducted between 12 June and 7 October headed by Dr. Yoshinobu Harazono of Japan’s National Institute of Agro-Environmental Sciences in collaboration with SDSU. Their measurement site is located about 0.8 kilometers to the Southwest of our main eddy covariance tower in Barrow and located in an area called Central Marsh. The site was established in the spring of 1999 and ran throughout the winter into this field season. Methane flux measurements were done using a modified aerodynamic gradient method using a special FID detector. The aerodynamic parameters were corrected with measurements made simultaneously from an eddy covariance system measuring CO2, H2O and energy exchange. Preliminary reports indicate a source of methane of 2.9 gCH4 m-2 for the dates between 12 June to 7 October, lower methane emissions compared to 1999, which had 6.6 gCH4 m-2.	ISO-____	http://gcrg.sdsu.edu/?p=149
16	biota	Anadromous Cataloging and Fish Inventory in the Upper Koyukuk and Chandalar River Basins.	Alaska Division of Fish and Game, Sport Fish Division Data collected during fish survey (August 4–23, 2010) -- Geographic info:  Site ID; GPS coordinates at upstream and downstream ends of fish-collection reach; stream name. Visit info:  Date & Time of visit; Observers’ names and affiliation; photo numbers; comments. Local fish assemblage:  species and life stages present; fish fork length; fish count; fish sampling method. Water quality (thalweg):  water temperature; pH; dissolved oxygen; conductivity; turbidity; color. Stream channel morphology:  channel widths (wetted, bankfull); thalweg depths (wetted, bankfull); stream gradient; dominant substrate classes; embeddedness; entrenchment; Rosgen channel type. Stream flow:  estimated stage; thalweg velocity. Riparian vegetation:  dominant riparian vegetation communities; estimated canopy height.	ISO-____	http://www.sf.adfg.state.ak.us/SARR/surveys/FishSurv_ims.cfm
17	inlandWaters	Provisional data from the U.S. Geological Survey, Alaska Science Center	Discharge, precipitation, air temperature, and water temperature data from USGS gaging stations. URL: http://waterdata.usgs.gov/nwis/	ISO-____	
18	climatology/meteorology/atmosphere	Toolik Lake Climate Station 1998-2011 and Lake E5 Climate Station (2000-present) data	"The Toolik Lake Climate Station is a floating climate station and should not be confused with the Toolik Field Station Climate site (TFS Climate Station or Met Station) which is a terrestrial station (located on land). Note that this land station has been called the ""Toolik Main Climate Station"", and the station on the lake is located where the main lake sampling site is located so it has also been called the Toolik Lake Main Climate Station. The meteorological station on the surface of Toolik Lake was first installed in the spring of 1998. Originally the station recorded air temperature, relative humidity, wind speed, and wind direction. In 1999, a Kipp and Zonen CM3 radiation instrument was added to record the downwelling and upwelling of longwave and shortwave radiation. Measurements of all variables are taken at a 30 second interval, averaged every 5 minutes, and logged into a Campbell Scientific CR10x datalogger or starting in 2007 a Campbell CR1000 datalogger.

The meteorological station is anchored in place as soon as possible in June (when ice is off lake) and remains in place until the Land-Water group leaves in August. This station measures air temperature and relative humidity (with Vaisala HMP45C), wind speed and direction (with Met One 014A anemometer) and radiation (with CM3 Kipp and Zonen Radiometer). The longwave radiation is corrected for instrument case temperature. The wind sensor is ~ 3.8 meters above the water surface, and the temperature sensor is ~2.5 m above the water surface. The upwelling radiation sensors are located ~50 cm above the water surface. Lake E5 is a small 11.3 ha lake located Northwest of Toolik Lake Field Research StationThe Lake E5 climate station was installed in the spring of 2000. The Lake E5 climate station records air temperature, relative humidity, wind speed, and wind direction. Measurements are taken at a 30 second interval, averaged every 5 minutes, and logged into a Campbell Scientific CR10x datalogger. The meteorological station is anchored in place as soon as possible in June (when ice is off lake) and remains in place until the Land-Water group leaves in August. This station measures air temperature and relative humidity (with Vaisala HMP45C) at ~1.5 meters height above the lake surface, and wind speed and direction (with Met One 014A anemometer) at ~2 meters height above lake surface."	ISO-____	http://ecosystems.mbl.edu/ARC/landwater/lake_climate
19	inlandWaters	Discharge measurements at the Toolik Lake Inlet (1991-present) and Tussock watershed (1991-present)	"Stream discharge, stage height, temperature, and conductivity of Toolik Inlet (the main surface water inflow to Toolik Lake) and the Tussock watershed have been measured since 2001. Tussock Watershed is a small inlet stream approximately 500 meters south of Toolik Lake (southwest of Toolik Field Station) that flows into Toolik Lake. 	For discharge measurement protocol, see the Land-Water protocol accessible from the Land-Water mainpage on the Arctic LTER web page or at http://www-personal.umich.edu/~gwk and clicking on the protocol link at the bottom of the page. Water level was recorded continuously with with a Stevens PGIII Pulse Generator connected to a Campbell Scientific CR510 datalogger. Additionally, we deployed a Campbell Scientific Model 247 Conductivity (EC) and Temperature probe which also recorded to the CR510. Discharge measurements were taken throughout each season to determine the stage-discharge relationship. When the stage heights exceed our range from the study year's rating curve, we apply a standardized composite rating curve (from 1991-2006) for Toolik Inlet to solve for stream discharge."	ISO-____	http://ecosystems.mbl.edu/arc/landwater/discharge/index.shtml
20	Environment	Active layer depths and soil temperature and moisture profiles (to 40cm depth) near Toolik Lake and Imnavait Creek.	"Temperature and moisture profiles (to 40cm depth) in the Toolik watering plot experiment and the biannual thaw depth survey for the Tussock Watershed and Imnavait Creek catchment transect. 	Thaw depth has been measured in a small tussock tundra watershed near Toolik Lake on July 2nd and August 11th since 1990. Starting in 2003, thaw depth has been measured in the Imnavait Creek watershed on a weekly to biweekly basis during the summer season. The UTM stake grid (stakes are in a grid at every 100 meters) was used to locate the points. A ruled stainless steel rod was inserted in non tussock microhabitat until the frozen layer was reached, and the distance was measured to the top of the organic mat (beneath the uppermost moss). Two measurement were made at each point from 1990-1999, and three measurements were made at each point from 2000 on. All measured depths are in cm. Measurements are made within a 20 cm radius of each location point. All the measurements are then averaged into a single value for the day."	ISO-____	http://ecosystems.mbl.edu/arc/landwater/soils/index.shtml
21	inlandWaters	Temperature and Discharge Measurements of the Kuparuk River (1987-present) and Oksrukuyik Creek (1988-present)	"Temperature and discharge data were collected at the following sites using the following methods. At Oksrukuyik Creek crossing at the Dalton Highway. Lat 68 41'13"", long 149 05'42"", in NE1/2, sec.4, T.9 S., R.13E., on left bank 10 m downstream from culvert, at mile 297.9 Dalton Hwy, 14 mi south of Pump Station 3, and 16.5 mi upstream from mouth (USGS Hydrologic Unit 19060402) stage height measurements were taken hourly with a Campbell CR-10 datalogger, and continuously with the USGS Stevens chart recorder, at the USGS gauging station, 10 meters downstream of the the Dalton Highway crossing. Discharge measurements were taken with a Marsh McBirney flow meter at a location 20 meters below the chart recorder. Flow was measured at 20 points for each transect. Discharge measurements were used to calibrate the rating curves for each year. 	Temperature readings were taken every 10 minutes by a Campbell CR-10 datalogger located 10 m downstream from the Oksrukuyik Creek crossing. Discharge, stage height and temperarture were measured at the one km upstream of the Kuparuk River crossing at the Dalton Highway, 68 38'15""N, 149 25'30""W. Stage height measurements were recorded by a Campbell CR-10 datalogger positioned 1 km upstream of the Kuparuk River crossing at the Dalton Highway. Stage height readings are in centimeters from the bottom of the river to the water surface. Discharge calibration measurements were taken at 60% of depth at 20-30 points along a cross sectional transect of the river, 100 meters upstream of the datalogger. Raw data from the calibration measurements are available. Stream temperature and discharge Each summer, water temperature and stream discharge are determined for the Kuparuk River and Oksrukuyik Creek. In many years, temperature and stream height were recorded manually each day. In recent years, dataloggers have measured stream temperature and stream height at regular intervals. The Kuparuk River data is maintained by Doug Kane on the Water and Environmental Research Center at UAF (http://www.uaf.edu/water/projects/NorthSlope/upper_kuparuk/uk_river/uk_river.html) Stream height is converted into stream discharge based on a rating curve calculated from manual discharge measurements throughout the season. The principal investigator in charge of the temperature and discharge measurements is Dr. Breck Bowden."	ISO-____	http://ecosystems.mbl.edu/arc/streams/tempdischarge/index.shtml
22	climatology/meteorology/atmosphere	Climate data from Toolik Moist Acidic Tussock (1990-present), Toolik Wet Sedge (1994-present), Toolik Moist Non-Acidic Tussock (1999-present), and Sagavanirktok River (1986-present) meteorological stations.	"The Toolik Moist Acidic Tussock station (68 degrees 37' 27"" N, 149 degrees 36' 24""W) started recording measurements in 1990 (soil and air temperatures and other weather parameters) in the experimental plots in the moist acidic tussock tundra near Toolik Lake. The Toolik Wet Sedge  station (68 degrees 37' 57"" N, 149 degrees 37' 32""W) started recording measurements in 1994. This site measures soil and air temperatures in the Wet Sedge Experimental plots (Block 1) near Toolik Lake.  The Toolik Moist Non-Acidic Tussock station (68 degrees 38' 7"" N, 149 degrees 38' 26""W) was added in 1999 to measure soil and air temperature in the experimental plots in non-acidic (pH ~ 5.88) moist tussock tundra.    The Sagavanirtok River station (68 degrees 46'N, 148 degrees 52'W, elevation 470 m) started recording measureemnts in 1986 during the summer months. In summer of 1993 the station was maintained year round."	ISO-____	http://ecosystems.mbl.edu/arc/weather/weatherdefault.html
