1	percent	Dimensionless	%
2	degree	Angle	deg
3	grad	Angle	grad
4	radian	Angle	rad
5	degree north	Angle	degN
6	degree south	Angle	degS
7	degree west	Angle	degW
8	degree east	Angle	degE
9	arcminute	Angle	arcmin
10	arcsecond	Angle	arcsec
11	steradian	Angle	sr
12	acre	Area	ac
13	hectare	Area	ha
14	square centimeter	Area	cm2
15	square foot	Area	ft2
16	square kilometer	Area	km2
17	square meter	Area	m2
18	square mile	Area	mi2
19	hertz	Frequency	Hz
20	darcy	Permeability	D
21	british thermal unit	Energy	BTU
22	calorie	Energy	cal
23	erg	Energy	erg
24	foot pound force	Energy	lbf ft
25	joule	Energy	J
26	kilowatt hour	Energy	kW hr
27	electronvolt	Energy	eV
28	langleys per day	Energy Flux	Ly/d
29	langleys per minute	Energy Flux	Ly/min
30	langleys per second	Energy Flux	Ly/s
31	megajoules per square meter per day	Energy Flux	MJ/m2 d
32	watts per square centimeter	Energy Flux	W/cm2
33	watts per square meter	Energy Flux	W/m2
34	acre feet per year	Flow	ac ft/yr
35	cubic feet per second	Flow	cfs
36	cubic meters per second	Flow	m3/s
37	cubic meters per day	Flow	m3/d
38	gallons per minute	Flow	gpm
39	liters per second	Flow	L/s
40	million gallons per day	Flow	MGD
41	dyne	Force	dyn
42	kilogram force	Force	kgf
43	newton	Force	N
44	pound force	Force	lbf
45	kilo pound force	Force	kip
46	ounce force	Force	ozf
47	centimeter   	Length	cm
48	international foot	Length	ft
49	international inch	Length	in
50	international yard	Length	yd
51	kilometer	Length	km
52	meter	Length	m
53	international mile	Length	mi
54	millimeter	Length	mm
55	micron	Length	um
56	angstrom	Length	Ã…
57	femtometer	Length	fm
58	nautical mile	Length	nmi
59	lumen	Light	lm
60	lux	Light	lx
61	lambert	Light	La
62	stilb	Light	sb
63	phot	Light	ph
64	langley	Light	Ly
65	gram	Mass	g
66	kilogram	Mass	kg
67	milligram	Mass	mg
68	microgram	Mass	ug
69	pound mass (avoirdupois)	Mass	lb
70	slug	Mass	slug
71	metric ton	Mass	tonne
72	grain	Mass	grain
73	carat	Mass	car
74	atomic mass unit	Mass	amu
75	short ton	Mass	ton
76	BTU per hour	Power	BTU/hr
77	foot pound force per second	Power	lbf/s
78	horse power (shaft)	Power	hp
79	kilowatt	Power	kW
80	watt	Power	W
81	voltampere	Power	VA
82	atmospheres	Pressure/Stress	atm
83	pascal	Pressure/Stress	Pa
84	inch of mercury	Pressure/Stress	inch Hg
85	inch of water	Pressure/Stress	inch H2O
86	millimeter of mercury	Pressure/Stress	mm Hg
87	millimeter of water	Pressure/Stress	mm H2O
88	centimeter of mercury	Pressure/Stress	cm Hg
89	centimeter of water	Pressure/Stress	cm H2O
90	millibar	Pressure/Stress	mbar
91	pound force per square inch	Pressure/Stress	psi
92	torr	Pressure/Stress	torr
93	barie	Pressure/Stress	barie
94	meters per pixel	Resolution	meters per pixel
95	meters per meter	Scale	-0
96	degree celsius	Temperature	degC
97	degree fahrenheit	Temperature	degF
98	degree rankine	Temperature	degR
99	degree kelvin	Temperature	degK
100	second	Time	s
101	millisecond	Time	millisec
102	minute	Time	min
103	hour	Time	hr
104	day	Time	d
105	week	Time	week
106	month	Time	month
107	common year (365 days)	Time	yr
108	leap year (366 days)	Time	leap yr
109	Julian year (365.25 days)	Time	jul yr
110	Gregorian year (365.2425 days)	Time	greg yr
111	centimeters per hour	Velocity	cm/hr
112	centimeters per second	Velocity	cm/s
113	feet per second	Velocity	ft/s
114	gallons per day per square foot	Velocity	gpd/ft2
115	inches per hour	Velocity	in/hr
116	kilometers per hour	Velocity	km/h
117	meters per day	Velocity	m/d
118	meters per hour	Velocity	m/hr
119	meters per second	Velocity	m/s
120	miles per hour	Velocity	mph
121	millimeters per hour	Velocity	mm/hr
122	nautical mile per hour	Velocity	knot
123	acre foot	Volume	ac ft
124	cubic centimeter	Volume	cc
125	cubic foot	Volume	ft3
126	cubic meter	Volume	m3
127	hectare meter	Volume	hec m
128	liter	Volume	L
129	US gallon	Volume	gal
130	barrel	Volume	bbl
131	pint	Volume	pt
132	bushel	Volume	bu
133	teaspoon	Volume	tsp
134	tablespoon	Volume	tbsp
135	quart	Volume	qrt
136	ounce	Volume	oz
137	dimensionless	Dimensionless	-0
138	mega joule	Energy	MJ
139	degrees minutes seconds	Angle	dddmmss
140	calories per square centimeter per day	Energy Flux	cal/cm2 d
141	calories per square centimeter per minute	Energy Flux	cal/cm2 min
142	milliliters per square centimeter per day	Hyporheic flux	ml/cm2 d
143	micromoles of photons per square meter per second	Photon Flux	umol/m2 s
144	megajoules per square meter	Energy per Area	MJ/m2
145	gallons per day	Flow	gpd
146	million gallons per month	Flow	MGM
147	million gallons per year	Flow	MGY
148	short tons per day per foot	Mass flow per unit width	ton/d ft
149	lumens per square foot	Light Intensity	lm/ft2
150	microeinsteins per square meter per second	Light Intensity	uE/m2 s
151	alphas per meter	Light	a/m
152	microeinsteins per square meter	Light	uE/m2
153	millimoles of photons per square meter	Light	mmol/m2
154	absorbance per centimeter	Extinction/Absorbance	A/cm
155	nanogram	Mass	ng
156	picogram	Mass	pg
157	milliequivalents	Mass	meq
158	grams per square meter	Areal Density	g/m2
159	milligrams per square meter	Areal Density	mg/m2
160	micrograms per square meter	Areal Density	ug/m2
161	grams per square meter per day	Areal Loading	g/m2 d
162	grams per day	Loading	g/d
163	pounds per day	Loading	lb/d
164	pounds per mile	Loading	lb/mi
165	short tons per day	Loading	ton/d
166	milligrams per cubic meter per day	Productivity	mg/m3 d
167	milligrams per square meter per day	Productivity	mg/m2 d
168	volts	Potential Difference	V
169	millivolts	Potential Difference	mV
170	kilopascal	Pressure/Stress	kPa
171	megapascal	Pressure/Stress	MPa
172	becquerel	Radioactivity	Bq
173	becquerels per gram	Radioactivity	Bq/g
174	curie	Radioactivity	Ci
175	picocurie	Radioactivity	pCi
176	ohm	Resistance	ohm
177	ohm meter	Resistivity	ohm m
178	picocuries per gram	Specific Activity	pCi/g
179	picocuries per liter	Specific Activity	pCi/L
180	picocuries per milliliter	Specific Activity	pCi/ml
181	hour minute	Time	hhmm
182	year month day	Time	yymmdd
183	year day (Julian)	Time	yyddd
184	inches per day	Velocity	in/d
185	inches per week	Velocity	in/week
186	inches per storm	Precipitation	in/storm
187	thousand acre feet	Volume	10^3 ac ft
188	milliliter	Volume	ml
189	cubic feet per second days	Volume	cfs d
190	thousand gallons	Volume	10^3 gal
191	million gallons	Volume	10^6 gal
192	microsiemens per centimeter	Electrical Conductivity	uS/cm
193	practical salinity units 	Salinity	psu
194	decibel	Sound	dB
195	cubic centimeters per gram	Specific Volume	cm3/g
196	square meters per gram	Specific Surface Area 	m2/g
197	short tons per acre foot	Concentration	ton/ac ft
198	grams per cubic centimeter	Concentration	g/cm3
199	milligrams per liter	Concentration	mg/L
200	nanograms per cubic meter	Concentration	ng/m3
201	nanograms per liter	Concentration	ng/L
202	grams per liter	Concentration	g/L
203	micrograms per cubic meter	Concentration	ug/m3
204	micrograms per liter	Concentration	ug/L
205	parts per million	Concentration	ppm
206	parts per billion	Concentration	ppb
207	parts per trillion	Concentration	ppt
208	parts per quintillion	Concentration	ppqt
209	parts per quadrillion	Concentration	ppq
210	per mille	Concentration	%o
211	microequivalents per liter	Concentration	ueq/L
212	milliequivalents per liter	Concentration	meq/L
213	milliequivalents per 100 gram	Concentration	meq/100 g
214	milliosmols per kilogram	Concentration	mOsm/kg
215	nanomoles per liter	Concentration	nmol/L
216	picograms per cubic meter	Concentration	pg/m3
217	picograms per liter	Concentration	pg/L
218	picograms per milliliter	Concentration	pg/ml
219	tritium units	Concentration	TU
220	jackson turbidity units	Turbidity	JTU
221	nephelometric turbidity units	Turbidity	NTU
222	nephelometric turbidity multibeam unit	Turbidity	NTMU
223	nephelometric turbidity ratio unit	Turbidity	NTRU
224	formazin nephelometric multibeam unit	Turbidity	FNMU
225	formazin nephelometric ratio unit	Turbidity	FNRU
226	formazin nephelometric unit	Turbidity	FNU
227	formazin attenuation unit	Turbidity	FAU
228	formazin backscatter unit 	Turbidity	FBU
229	backscatter units	Turbidity	BU
230	attenuation units	Turbidity	AU
231	platinum cobalt units	Color	PCU
232	the ratio between UV absorbance at 254 nm and DOC level	Specific UV Absorbance	L/(mg DOC/cm)
233	billion colonies per day	Organism Loading	10^9 colonies/d
234	number of organisms per square meter	Organism Concentration	#/m2
235	number of organisms per liter	Organism Concentration	#/L
236	number or organisms per cubic meter	Organism Concentration	#/m3
237	cells per milliliter	Organism Concentration	cells/ml
238	cells per square millimeter	Organism Concentration	cells/mm2
239	colonies per 100 milliliters	Organism Concentration	colonies/100 ml
240	colonies per milliliter	Organism Concentration	colonies/ml
241	colonies per gram	Organism Concentration	colonies/g
242	colony forming units per milliliter	Organism Concentration	CFU/ml
243	cysts per 10 liters	Organism Concentration	cysts/10 L
244	cysts per 100 liters	Organism Concentration	cysts/100 L
245	oocysts per 10 liters	Organism Concentration	oocysts/10 L
246	oocysts per 100 liters	Organism Concentration	oocysts/100 L
247	most probable number	Organism Concentration	MPN
248	most probable number per 100 liters	Organism Concentration	MPN/100 L
249	most probable number per 100 milliliters	Organism Concentration	MPN/100 ml
250	most probable number per gram	Organism Concentration	MPN/g
251	plaque-forming units per 100 liters	Organism Concentration	PFU/100 L
252	plaques per 100 milliliters	Organism Concentration	plaques/100 ml
253	counts per second	Rate	#/s
254	per day	Rate	1/d
255	nanograms per square meter per hour	Volatilization Rate	ng/m2 hr
256	nanograms per square meter per week	Volatilization Rate	ng/m2 week
257	count	Dimensionless	#
258	categorical	Dimensionless	code
259	absorbance per centimeter per mg/L of given acid 	Absorbance	100/cm mg/L
260	per liter	Concentration Ratio	1/L
261	per mille per hour	Sedimentation Rate	%o/hr
262	gallons per batch	Flow	gpb
263	cubic feet per barrel	Concentration	ft3/bbl
264	per mille by volume	Concentration	%o by vol
265	per mille per hour by volume	Sedimentation Rate	%o/hr by vol
266	micromoles	Amount	umol
267	tons of calcium carbonate per kiloton	Net Neutralization Potential	tCaCO3/Kt
268	siemens per meter	Electrical Conductivity	S/m
269	millisiemens per centimeter	Electrical Conductivity	mS/cm
270	siemens per centimeter	Electrical Conductivity	S/cm
271	practical salinity scale	Salinity	pss
272	per meter	Light Extinction	1/m
273	normal	Normality	N
274	nanomoles per kilogram	Concentration	nmol/kg
275	millimoles per kilogram	Concentration	mmol/kg
276	millimoles per square meter per hour	Areal Flux	mmol/m2 hr
277	milligrams per cubic meter per hour	Productivity	mg/m3 hr
278	milligrams per day	Loading	mg/d
279	liters per minute	Flow	L/min
280	liters per day	Flow	L/d
281	jackson candle units 	Turbidity	JCU
282	grains per gallon	Concentration	gpg
283	gallons per second	Flow	gps
284	gallons per hour	Flow	gph
285	foot candle	Illuminance	ftc
286	fibers per liter	Concentration	fibers/L
287	drips per minute	Flow	drips/min
288	cubic centimeters per second	Flow	cm3/sec
289	colony forming units	Organism Concentration	CFU
290	colony forming units per 100 milliliter	Organism Concentration	CFU/100 ml
291	cubic feet per minute	Flow	cfm
292	ADMI color unit	Color	ADMI
293	percent by volume	Concentration	% by vol
294	number of organisms per 500 milliliter	Organism Concentration	#/500 ml
295	number of organisms per 100 gallon	Organism Concentration	#/100 gal
296	grams per cubic meter per hour	Productivity	g/m3 hr
297	grams per minute	Loading	g/min
298	grams per second	Loading	g/s
299	million cubic feet	Volume	10^6 ft3
300	month year	Time	mmyy
301	bar	Pressure	bar
302	decisiemens per centimeter	Electrical Conductivity	dS/cm
303	micromoles per liter	Concentration	umol/L
304	Joules per square centimeter	Energy per Area	J/cm2
305	millimeters per day	velocity	mm/day
306	parts per thousand	Concentration	ppth
307	megaliter	Volume	ML
308	Percent Saturation	Concentration	% Sat
309	pH Unit	Dimensionless	pH
310	millimeters per second	Velocity	mm/s
311	liters per hour	Flow	L/hr
312	cubic hecto meter	Volume	(hm)^3
313	mols per cubic meter	Concentration or organism concentration	mol/m3
314	kilo grams per month	Loading	kg/month
315	Hecto Pascal	Pressure/Stress	hPa
316	kilo grams per cubic meter	Concentration	kg/m3
317	short tons per month	Loading	ton/month
318	grams per square meter per hour	Areal Flux	g/m2 hr
319	milligrams per cubic meter	Concentration	mg/m3
320	meters squared per second squared	Velocity	m2/s2
321	squared degree Celsius	Temperature	(DegC)2
322	milligrams per cubic meter squared	Concentration	(mg/m3)2
323	meters per second degree Celsius	Temperature	m/s DegC
324	millimoles per square meter per second	Areal Flux	mmol/m2 s
325	degree Celsius millimoles per cubic meter	Concentration	DegC mmol/m3
326	millimoles per cubic meter	Concentration	mmol/m3
327	millimoles per cubic meter squared	Concentration	(mmol/m3)2
328	Langleys per hour	Energy Flux	Ly/hr
329	hits per square centimeter	precipitation	hits/cm^2
330	hits per square centimeter per hour	velocity	hits/cm^2h
331	millimeters per minute	Velocity	mm/min
332	amphere	Current	A
333	vol fraction	Volume	vol fraction
335	unknown	unknown	unknown
336	kilowatts per square meter	Energy Flux	kW/m^2
